Screening for genera;Genera mentioned;Families;Orders;Geographic region;Comment;Beach meiofauna?;Beach_alejandro_opinion;UT
Sören;;;;;Can't find paper;maybe;no;wos:000216158300001
Jan;;;;Africa,South Africa;Not online;maybe;no;wos:a1991gr34700026
Sören;;;;South America,Brazil;Medical case study;no;no;wos:000071064100009
Sören;;;;Asia,Russia,Baikal;unavailaible;no;no;wos:000073352800002
Sören;;;;Asia,Japan;"Classes mentioned; gut content";no;no;wos:000078948700002
Sören;;;;South America,Chile;Macrofauna;no;no;wos:000085828800022
Sören;;;;Europe,Spain;Macrofauna (Cumaceae);no;no;wos:000087039800007
Sören;Sthenelais,Eurythoe,Ophiodromus,Ancistrosyllis,Sigambra,Langerhansia,Laeonereis,Neanthes,Platynereis,Glycinde,Goniada,Hemipodus,Diopatra,Marphysa,Nematonereis,Lumbrineris,Naineris,Spionidae,Prionospio,Scolelepis,Magelona,Cirriformia,Armandia,Capitellidae,Capitella,Capitomastus,Heteromastus,Mediomastus,Notomastus,Scyphoproctus,Owenia,Isolda,Terebellidae,Polycirrus,Branchiomma,Pseudobranchiomma,Megalomma,Tubifex,Pseudoeurythoe,Anaitides,Parandalia,Nereididae,Mooreonuphis,Dorvillea,Scoloplos,Boccardia,Dispio,Polydora,Poecilochaetus,Pectinaria,Loimia,Pista,Terebellides;Sigalionidae,Amphinomidae,Hesionidae,Pilargidae,Syllidae,Nereididae,Goniadidae,Glyceridae,Onuphidae,Eunicidae,Lumbrineridae,Orbiniidae,Spionidae,Magelonidae,Ophellidae,Capitellidae,Sabellidae,Oweniidae,Ampharetidae,Terebellidae,Tubificidae,Cirratulidae,Pectinariidae,Trichobranchidae,Phyllodocidae,Neredidae,Dorvilleidae;;South America,Brazil;"Annelids; Macrofauna";no;no;wos:000167458800006
Sören;Brycella,Cephalodella,Colurella,Dicranophorus,Elosa,Lecane,Lepadella,Monommata,Notommata,Proales,Rotaria,Trichocerca,Wierzejskiella;;;Europe,Poland;Freshwater Rotifers;yes;no;wos:000169620100023
Sören;Litopenaeus,Xiphopenaeus,Clibanarius,Pagurus,Alpheus,Petrolisthes,Callinectes,Charybdis,Lembos,Parapinnixa,Leucothoe,Pinnixa,Melita,Orchestia,Tiburonella,Alarconia,Kalliapseudes,Microphrys,Excirolana,Panopeus,Ogyrides,Upogebia,Hexapanopeus,Albunea,Eurypanopeus,Lepidopa,Micropanope,Emerita,Pilumnus,Menippe,Cyrtoplax,Eucratopsis,Dissodactylus,Uca,Pachygrapsus,Callichirus,Acanthosquilla,Cymadusa,Elasmopus,Parhyale,Grandidierella,Parhyalella;Majidae,Hippolytidae,Ogyrididae;Stomatopoda,Caridea;South America,Brazil;"Crustaceans; Macrofauna";no;no;wos:000170746300015
Sören;;;;South America,Chile;Macrofauna;no;no;wos:000173167700003
Sören;;;;Australia,Australia;"phyla or class level ID; gut content";yes;no;wos:000178478800004
Sören;;;;North America,USA;Macrofauna;no;no;wos:000179060000001
