include;verbatimScientificName;AphiaID;Match.type;ScientificName;Taxon.status;ScientificName_accepted;Kingdom;Group;Phylum;Class;Order;Family;Synonyms.included
NO;Lumbricus;154885;exact;Lumbricus;accepted;Lumbricus;Animalia;Annelida;Annelida;Clitellata;Crassiclitellata;Lumbricidae;
YES;Grania;137349;exact;Grania;accepted;Grania;Animalia;Annelida;Annelida;Clitellata;Enchytraeida;Enchytraeidae;
YES;Lumbricillus;137351;exact;Lumbricillus;accepted;Lumbricillus;Animalia;Annelida;Annelida;Clitellata;Enchytraeida;Enchytraeidae;
YES;Marionina;137353;exact;Marionina;accepted;Marionina;Animalia;Annelida;Annelida;Clitellata;Enchytraeida;Enchytraeidae;
NO;Helobdella;160018;exact;Helobdella;accepted;Helobdella;Animalia;Annelida;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;
YES;Aktedrilus;137367;exact;Aktedrilus;accepted;Aktedrilus;Animalia;Annelida;Annelida;Clitellata;Tubificida;Naididae;
YES;Coralliodrilus;137370;exact;Coralliodrilus;accepted;Coralliodrilus;Animalia;Annelida;Annelida;Clitellata;Tubificida;Naididae;
YES;Heterodrilus;137382;exact;Heterodrilus;accepted;Heterodrilus;Animalia;Annelida;Annelida;Clitellata;Tubificida;Naididae;
YES;Phallodrilus;137378;exact;Phallodrilus;accepted;Phallodrilus;Animalia;Annelida;Annelida;Clitellata;Tubificida;Naididae;
NO;Eurythoe;129186;exact;Eurythoe;accepted;Eurythoe;Animalia;Annelida;Annelida;Polychaeta;Amphinomida;Amphinomidae;
NO;Linopherus;129189;exact;Linopherus;accepted;Linopherus;Animalia;Annelida;Annelida;Polychaeta;Amphinomida;Amphinomidae;
YES;Apodotrocha;240989;exact;Apodotrocha;accepted;Apodotrocha;Animalia;Annelida;Annelida;Polychaeta;Eunicida;Dorvilleidae;
YES;Dorvillea;129261;exact;Dorvillea;accepted;Dorvillea;Animalia;Annelida;Annelida;Polychaeta;Eunicida;Dorvilleidae;
YES;Protodorvillea;129272;exact;Protodorvillea;accepted;Protodorvillea;Animalia;Annelida;Annelida;Polychaeta;Eunicida;Dorvilleidae;
YES;Schistomeringos;129274;exact;Schistomeringos;accepted;Schistomeringos;Animalia;Annelida;Annelida;Polychaeta;Eunicida;Dorvilleidae;
NO;Eunice;129278;exact;Eunice;accepted;Eunice;Animalia;Annelida;Annelida;Polychaeta;Eunicida;Eunicidae;
NO;Lysidice;129280;exact;Lysidice;accepted;Lysidice;Animalia;Annelida;Annelida;Polychaeta;Eunicida;Eunicidae;
NO;Marphysa;129281;exact;Marphysa;accepted;Marphysa;Animalia;Annelida;Annelida;Polychaeta;Eunicida;Eunicidae;
