country;details;
Antarctica;King George Island, Admiralty Bay;
Antarctica;Admiralty Bay;
Argentina;;
Argentina;;
Argentina;;
Australia;;
Australia;;
Australia;;
Australia;;
Australia;Australia;
Australia;Australia;
Australia;Australia;
Australia;Australia;
Australia;Australia;Dolphin Beach
Australia;Australia;Woodgate Beach
Australia;New South Wales;
Australia;South Wales coast;
Belgium;;
Belgium;;
Belgium;;
Belgium;;
Belgium;;
Belgium;De Panne;
Belgium;De Panne;
Belgium;De Panne;
Belgium;De Panne;
Belgium;De Panne;
Belgium;;
Belize;;
Bermuda;;
Bermuda;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;;
Brazil;Araca Bay;
Brazil;Arraial do Cabo;
Brazil;Caixa d’Água;
Brazil;Itapuã;
Brazil;Jurujuba Sound;
Brazil;Laguna;
Brazil;Porto de Galinhas;
Brazil;Praia do Cachadaço;
Brazil;Salinopolis;
Brazil;Santos;
Brazil;Sao Paolo;
Brazil;São Paulo;
Brazil;Tamandaré Bay;
Brazil;Todos os Santos Bay;
Brazil;Vai-Quem-Quer beach;
Brazil;Codo beach;
Brazil;Rio de Janeiro;
Canada;Calvert Island;
Chile;;
Chile;;
Chile;;
Chile;;
Chile;;
Chile;;
Chile;;
Chile;Chañaral;
China;;
China;;
China;;
China;;
China;;
China;;
China;;
China;HongKong;
China;Qingdao;
China;Rizhao;
China;Sishili Bay;
China;Weihai;
China;Xiamen;
China;zhuhai;
Colombia;;
Colombia;;
Colombia;Magdalena;
Costa Rica;Tamandaré Bay;
Cuba;;
Denmark;;
Denmark;Simrishamn;
Egypt;;
Egypt;Alexandria;
Egypt;Alexandria;
Egypt;Safaga;
Egypt;Alexandria;
France;northwest coast of Brittany;
France;Archachon;
France;Brittany;
France;Brouennou;
France;Roscoff Aber Bay;
France;Saint-Brieuc;
France;;
French Polynesia;Moorea;
French Polynesia;Tahiti;
Germany;Helgoland;
Germany;Spiekeroog;
Germany;Sylt;
Germany;Sylt;
Germany;Sylt;
Germany;Sylt;
Germany;Sylt;
Germany;Sylt;
Germany;Sylt;
Germany;Helgoland;
Germany;Poole Harbour;
Germany;Sylt;
Germany;Sylt;
Germany;Sylt;
Germany;Sylt;
Germany;Sylt;
Denmark;Rømø;
Great Britain;;
